Tru,Turnover,ident
0.5,0.523620308,Sampled Ancestor Model
0.5,0.513590086,Sampled Ancestor Model
0.5,0.509200427,Sampled Ancestor Model
0.5,0.52081427,Sampled Ancestor Model
0.5,0.512961061,Sampled Ancestor Model
0.5,0.512956198,Sampled Ancestor Model
0.5,0.508371665,Sampled Ancestor Model
0.5,0.518288724,Sampled Ancestor Model
0.5,0.511193871,Sampled Ancestor Model
0.5,0.515605275,Sampled Ancestor Model
0.5,0.514861458,Sampled Ancestor Model
0.5,0.51256624,Sampled Ancestor Model
0.5,0.520655238,Sampled Ancestor Model
0.5,0.515856781,Sampled Ancestor Model
0.55,0.609727428,Sampled Ancestor Model
0.55,0.607499816,Sampled Ancestor Model
0.55,0.585098459,Sampled Ancestor Model
0.55,0.596121191,Sampled Ancestor Model
0.55,0.595799735,Sampled Ancestor Model
0.55,0.599297855,Sampled Ancestor Model
0.55,0.601269936,Sampled Ancestor Model
0.55,0.612076216,Sampled Ancestor Model
0.55,0.600138009,Sampled Ancestor Model
0.55,0.598517488,Sampled Ancestor Model
0.55,0.601960651,Sampled Ancestor Model
0.55,0.592498273,Sampled Ancestor Model
0.55,0.597479525,Sampled Ancestor Model
0.55,0.607416812,Sampled Ancestor Model
0.55,0.594341816,Sampled Ancestor Model
0.55,0.596046595,Sampled Ancestor Model
0.55,0.613210161,Sampled Ancestor Model
0.55,0.602959184,Sampled Ancestor Model
0.55,0.603063718,Sampled Ancestor Model
0.55,0.59895385,Sampled Ancestor Model
0.55,0.612643313,Sampled Ancestor Model
0.55,0.603343155,Sampled Ancestor Model
0.55,0.595016402,Sampled Ancestor Model
0.55,0.598948406,Sampled Ancestor Model
0.55,0.609907594,Sampled Ancestor Model
0.55,0.59485064,Sampled Ancestor Model
0.55,0.598110807,Sampled Ancestor Model
0.55,0.602241417,Sampled Ancestor Model
0.55,0.604769617,Sampled Ancestor Model
0.55,0.595168412,Sampled Ancestor Model
0.55,0.599833284,Sampled Ancestor Model
0.55,0.602452145,Sampled Ancestor Model
0.55,0.602449649,Sampled Ancestor Model
0.55,0.602750833,Sampled Ancestor Model
0.55,0.590355894,Sampled Ancestor Model
0.55,0.603161636,Sampled Ancestor Model
0.55,0.601594067,Sampled Ancestor Model
0.55,0.60701235,Sampled Ancestor Model
0.55,0.59951288,Sampled Ancestor Model
0.55,0.59645128,Sampled Ancestor Model
0.55,0.598457496,Sampled Ancestor Model
0.55,0.606532292,Sampled Ancestor Model
0.55,0.583939617,Sampled Ancestor Model
0.55,0.613474392,Sampled Ancestor Model
0.55,0.596338558,Sampled Ancestor Model
0.55,0.592071987,Sampled Ancestor Model
0.55,0.597128144,Sampled Ancestor Model
0.55,0.598975705,Sampled Ancestor Model
0.55,0.601260697,Sampled Ancestor Model
0.55,0.602661031,Sampled Ancestor Model
0.6,0.618234572,Sampled Ancestor Model
0.6,0.607885153,Sampled Ancestor Model
0.6,0.612642082,Sampled Ancestor Model
0.6,0.613522845,Sampled Ancestor Model
0.6,0.595495198,Sampled Ancestor Model
0.6,0.620597986,Sampled Ancestor Model
0.6,0.634554072,Sampled Ancestor Model
0.6,0.621143679,Sampled Ancestor Model
0.6,0.62488388,Sampled Ancestor Model
0.6,0.610712246,Sampled Ancestor Model
0.6,0.617999175,Sampled Ancestor Model
0.6,0.616941904,Sampled Ancestor Model
0.6,0.616139755,Sampled Ancestor Model
0.6,0.624161212,Sampled Ancestor Model
0.6,0.611649424,Sampled Ancestor Model
0.6,0.60701525,Sampled Ancestor Model
0.6,0.621556345,Sampled Ancestor Model
0.6,0.615010907,Sampled Ancestor Model
0.6,0.597084104,Sampled Ancestor Model
0.6,0.621049126,Sampled Ancestor Model
0.6,0.608247056,Sampled Ancestor Model
0.6,0.617805787,Sampled Ancestor Model
0.6,0.624027246,Sampled Ancestor Model
0.6,0.617053229,Sampled Ancestor Model
0.6,0.633908271,Sampled Ancestor Model
0.6,0.618374933,Sampled Ancestor Model
0.6,0.615430159,Sampled Ancestor Model
0.6,0.603640806,Sampled Ancestor Model
0.6,0.617869036,Sampled Ancestor Model
0.6,0.620508131,Sampled Ancestor Model
0.6,0.622045791,Sampled Ancestor Model
0.6,0.630449254,Sampled Ancestor Model
0.6,0.633235363,Sampled Ancestor Model
0.6,0.614525297,Sampled Ancestor Model
0.6,0.615733432,Sampled Ancestor Model
0.6,0.615572347,Sampled Ancestor Model
0.6,0.622363017,Sampled Ancestor Model
0.6,0.631987731,Sampled Ancestor Model
0.6,0.624676358,Sampled Ancestor Model
0.6,0.629443685,Sampled Ancestor Model
0.6,0.626103847,Sampled Ancestor Model
0.6,0.609179322,Sampled Ancestor Model
0.6,0.624881291,Sampled Ancestor Model
0.6,0.617620708,Sampled Ancestor Model
0.6,0.613862301,Sampled Ancestor Model
0.6,0.625191417,Sampled Ancestor Model
0.625,0.642620949,Sampled Ancestor Model
0.625,0.633356825,Sampled Ancestor Model
0.625,0.643525407,Sampled Ancestor Model
0.625,0.632284675,Sampled Ancestor Model
0.625,0.620409477,Sampled Ancestor Model
0.625,0.628256214,Sampled Ancestor Model
0.625,0.642813029,Sampled Ancestor Model
0.625,0.620112486,Sampled Ancestor Model
0.625,0.636849945,Sampled Ancestor Model
0.625,0.613977479,Sampled Ancestor Model
0.625,0.626031961,Sampled Ancestor Model
0.625,0.632536443,Sampled Ancestor Model
0.625,0.621366693,Sampled Ancestor Model
0.625,0.625808003,Sampled Ancestor Model
0.625,0.654626792,Sampled Ancestor Model
0.625,0.640198087,Sampled Ancestor Model
0.625,0.638814816,Sampled Ancestor Model
0.625,0.65487549,Sampled Ancestor Model
0.625,0.650273312,Sampled Ancestor Model
0.625,0.641410906,Sampled Ancestor Model
0.625,0.632621225,Sampled Ancestor Model
0.625,0.624214371,Sampled Ancestor Model
0.625,0.631756676,Sampled Ancestor Model
0.625,0.620033067,Sampled Ancestor Model
0.625,0.64214362,Sampled Ancestor Model
0.625,0.626405122,Sampled Ancestor Model
0.625,0.620345256,Sampled Ancestor Model
0.625,0.626314502,Sampled Ancestor Model
0.625,0.637361828,Sampled Ancestor Model
0.625,0.648922639,Sampled Ancestor Model
0.625,0.617722465,Sampled Ancestor Model
0.625,0.629769065,Sampled Ancestor Model
0.625,0.645490136,Sampled Ancestor Model
0.625,0.612241802,Sampled Ancestor Model
0.625,0.635652046,Sampled Ancestor Model
0.625,0.641954948,Sampled Ancestor Model
0.625,0.627303002,Sampled Ancestor Model
0.625,0.629453608,Sampled Ancestor Model
0.625,0.629686504,Sampled Ancestor Model
0.625,0.618651597,Sampled Ancestor Model
0.625,0.619308321,Sampled Ancestor Model
0.625,0.638353561,Sampled Ancestor Model
0.625,0.620354634,Sampled Ancestor Model
0.625,0.623398298,Sampled Ancestor Model
0.625,0.633903007,Sampled Ancestor Model
0.625,0.625460241,Sampled Ancestor Model
0.625,0.627666944,Sampled Ancestor Model
0.625,0.638173157,Sampled Ancestor Model
0.625,0.635940377,Sampled Ancestor Model
0.625,0.624897066,Sampled Ancestor Model
0.65,0.45312168,Sampled Ancestor Model
