,Ind,Tru,No Sampled Ancestors Turnover,ident
41,0,6.18,7.7675142337,Non Sampled Ancestor Model
42,0,6.18,7.41990176674,Non Sampled Ancestor Model
43,0,6.18,7.1707539225,Non Sampled Ancestor Model
44,0,6.18,7.63356418327,Non Sampled Ancestor Model
45,0,6.18,7.06623042504,Non Sampled Ancestor Model
46,0,6.18,7.16182091634,Non Sampled Ancestor Model
0,0,26.34,26.6356884816,Non Sampled Ancestor Model
1,0,26.34,26.5040178268,Non Sampled Ancestor Model
2,0,26.34,26.5508421089,Non Sampled Ancestor Model
3,0,26.34,26.4658557594,Non Sampled Ancestor Model
4,0,26.34,26.4574871657,Non Sampled Ancestor Model
5,0,26.34,26.5015435144,Non Sampled Ancestor Model
6,0,26.34,26.4949548619,Non Sampled Ancestor Model
7,0,26.34,26.5072374299,Non Sampled Ancestor Model
8,0,26.34,26.539720856,Non Sampled Ancestor Model
9,0,26.34,26.5425729668,Non Sampled Ancestor Model
10,0,26.34,26.5230228274,Non Sampled Ancestor Model
11,0,26.34,26.5017449914,Non Sampled Ancestor Model
12,0,26.34,26.4714334516,Non Sampled Ancestor Model
13,0,26.34,26.4254026474,Non Sampled Ancestor Model
14,0,26.34,26.4680117738,Non Sampled Ancestor Model
15,0,26.34,26.5512689933,Non Sampled Ancestor Model
16,0,26.34,26.4346538718,Non Sampled Ancestor Model
17,0,26.34,26.5391190866,Non Sampled Ancestor Model
18,0,26.34,26.5231263804,Non Sampled Ancestor Model
19,0,26.34,26.5337588216,Non Sampled Ancestor Model
20,0,26.34,26.5102626203,Non Sampled Ancestor Model
21,0,26.34,26.5217299801,Non Sampled Ancestor Model
22,0,26.34,26.5260071602,Non Sampled Ancestor Model
23,0,26.34,26.4937552838,Non Sampled Ancestor Model
24,0,26.34,26.5902998371,Non Sampled Ancestor Model
25,0,26.34,26.5191909803,Non Sampled Ancestor Model
26,0,26.34,26.5637595672,Non Sampled Ancestor Model
27,0,26.34,26.5095874078,Non Sampled Ancestor Model
28,0,26.34,26.4840814018,Non Sampled Ancestor Model
29,0,26.34,26.5047146464,Non Sampled Ancestor Model
30,0,26.34,26.5180382182,Non Sampled Ancestor Model
31,0,26.34,26.467820538,Non Sampled Ancestor Model
32,0,26.34,26.5016221237,Non Sampled Ancestor Model
33,0,26.34,26.4964673927,Non Sampled Ancestor Model
34,0,26.34,26.5133611837,Non Sampled Ancestor Model
35,0,26.34,26.4922993577,Non Sampled Ancestor Model
36,0,26.34,26.4898347367,Non Sampled Ancestor Model
