,Ind,Tru,No Sampled Ancestors Turnover,ident
42,0,10.34,13.2878182583,Non Sampled Ancestor Model
43,0,10.34,16.089082011,Non Sampled Ancestor Model
44,0,10.34,13.017803193,Non Sampled Ancestor Model
45,0,10.34,11.139390804,Non Sampled Ancestor Model
46,0,10.34,12.018840544,Non Sampled Ancestor Model
47,0,10.34,15.5000783788,Non Sampled Ancestor Model
48,0,10.34,15.0949312979,Non Sampled Ancestor Model
0,0,25.38,25.2676724124,Non Sampled Ancestor Model
1,0,25.38,25.1688296548,Non Sampled Ancestor Model
2,0,25.38,25.4717571934,Non Sampled Ancestor Model
3,0,25.38,25.3663896976,Non Sampled Ancestor Model
4,0,25.38,25.7816893506,Non Sampled Ancestor Model
5,0,25.38,25.2573027693,Non Sampled Ancestor Model
6,0,25.38,25.3697164428,Non Sampled Ancestor Model
7,0,25.38,25.1315104001,Non Sampled Ancestor Model
8,0,25.38,25.8587028052,Non Sampled Ancestor Model
9,0,25.38,25.3523785977,Non Sampled Ancestor Model
10,0,25.38,26.548789958,Non Sampled Ancestor Model
11,0,25.38,25.296090403,Non Sampled Ancestor Model
12,0,25.38,25.8051344602,Non Sampled Ancestor Model
13,0,25.38,25.425090135,Non Sampled Ancestor Model
14,0,25.38,25.2478922783,Non Sampled Ancestor Model
15,0,25.38,25.5747407168,Non Sampled Ancestor Model
16,0,25.38,25.3006262072,Non Sampled Ancestor Model
17,0,25.38,25.5591480855,Non Sampled Ancestor Model
18,0,25.38,25.0300221238,Non Sampled Ancestor Model
19,0,25.38,25.0183364272,Non Sampled Ancestor Model
20,0,25.38,25.4815718194,Non Sampled Ancestor Model
21,0,25.38,25.2705380656,Non Sampled Ancestor Model
22,0,25.38,25.4847223644,Non Sampled Ancestor Model
23,0,25.38,25.2722031411,Non Sampled Ancestor Model
24,0,25.38,25.851646104,Non Sampled Ancestor Model
25,0,25.38,25.509504488,Non Sampled Ancestor Model
26,0,25.38,25.5655043991,Non Sampled Ancestor Model
27,0,25.38,25.2259345128,Non Sampled Ancestor Model
28,0,25.38,25.3892563556,Non Sampled Ancestor Model
29,0,25.38,25.3014195481,Non Sampled Ancestor Model
30,0,25.38,25.6671727144,Non Sampled Ancestor Model
31,0,25.38,25.9809784039,Non Sampled Ancestor Model
32,0,25.38,25.9941775886,Non Sampled Ancestor Model
33,0,25.38,25.4165986671,Non Sampled Ancestor Model
34,0,25.38,25.146433802,Non Sampled Ancestor Model
35,0,25.38,25.6099490808,Non Sampled Ancestor Model
36,0,25.38,25.1922004909,Non Sampled Ancestor Model
37,0,25.38,25.3296733045,Non Sampled Ancestor Model
38,0,25.38,25.2803692282,Non Sampled Ancestor Model
39,0,25.38,25.6237517485,Non Sampled Ancestor Model
40,0,25.38,25.449562997,Non Sampled Ancestor Model
41,0,25.38,25.2589780589,Non Sampled Ancestor Model
42,0,25.38,25.3240493963,Non Sampled Ancestor Model
43,0,25.38,25.5718848149,Non Sampled Ancestor Model
44,0,25.38,25.1644711476,Non Sampled Ancestor Model
